Date,Mkt-RF,SMB,HML,RMW,CMA,RF
231124,0.11,0.63,0.18,-0.51,0.23,0.021
231127,-0.23,-0.14,-0.08,0.13,-0.25,0.021
231128,0.06,-0.3,0.05,-0.16,0.03,0.021
231129,0.01,0.58,0.69,-0.76,-0.06,0.021
231130,0.35,-0.4,0.01,-0.11,0.18,0.021
231201,0.82,2.23,1.07,-0.37,0.57,0.021
231204,-0.44,1.51,0.5,-0.44,0.77,0.021
231205,-0.21,-1.05,-0.85,0.18,-0.41,0.021
231206,-0.39,0.36,0.32,-0.22,0.27,0.021
231207,0.81,0.09,0.49,0.08,-0.19,0.021
231208,0.45,0.16,0.53,-0.13,-0.08,0.021
231211,0.35,-0.44,-0.12,0.02,0.64,0.021
231212,0.34,-0.64,-0.89,-0.37,-0.22,0.021
231213,1.55,1.92,1.35,-0.99,0.17,0.021
231214,0.51,1.84,2.03,0.03,0.38,0.021
231215,-0.06,-0.59,-0.57,0.14,-0.35,0.021
231218,0.42,-0.51,-0.36,0.35,-0.24,0.021
231219,0.72,1.51,0.68,-0.38,0.05,0.021
231220,-1.56,-0.35,0.15,0.76,0.09,0.021
231221,1.09,0.74,-0.02,-0.57,-0.17,0.021
231222,0.2,0.61,0.1,-0.65,0.2,0.021
231226,0.48,0.83,0.43,-0.33,-0.16,0.021
231227,0.16,0.17,0.1,-0.32,-0.14,0.021
231228,-0.01,-0.38,0.02,-0.32,0.15,0.021
231229,-0.43,-1.14,-0.36,0.69,-0.06,0.021
240102,-0.7,-0.26,0.79,0.66,0.64,0.022
240103,-1.01,-1.93,-0.14,0.35,-0.18,0.022
240104,-0.33,0.24,0.09,-0.43,0.24,0.022
240105,0.15,-0.59,0.65,0.11,-0.15,0.022
240108,1.49,0.55,-1.31,-0.98,-0.49,0.022
240109,-0.21,-0.75,-0.9,-0.3,-0.18,0.022
240110,0.5,-0.29,-0.44,0.24,-0.18,0.022
240111,-0.14,-0.66,-0.51,0.45,-0.13,0.022
240112,-0.01,-0.21,-0.5,0.11,-0.28,0.022
240116,-0.47,-0.87,-0.64,0.13,-0.27,0.022
240117,-0.59,-0.16,-0.24,0.26,-0.23,0.022
240118,0.87,-0.27,-0.34,0.71,-0.24,0.022
240119,1.19,-0.37,0.65,-0.05,-0.27,0.022
240122,0.39,1.83,0.58,-0.43,0.09,0.022
240123,0.22,-0.69,-0.58,-0.18,0.21,0.022
240124,-0.01,-0.76,0.02,0.25,-0.4,0.022
240125,0.46,0.2,0.56,-0.2,0.52,0.022
240126,-0.02,0.32,-0.22,0.25,0.02,0.022
240129,0.86,0.88,-0.57,-1.11,-0.3,0.022
240130,-0.13,-0.96,0.85,0.99,0.13,0.022
240131,-1.74,-0.89,-0.31,-0.22,0.35,0.022
240201,1.23,0.33,-1.35,-0.05,-0.29,0.021
240202,0.99,-1.57,-0.51,-0.16,-1.4,0.021
240205,-0.42,-0.94,-0.66,0.1,-0.15,0.021
240206,0.27,0.77,-0.49,-0.75,0.59,0.021
240207,0.77,-1.02,-0.62,0.62,-0.81,0.021
240208,0.21,1.4,0.03,-0.52,-0.2,0.021
240209,0.65,0.84,-0.43,-0.34,-0.43,0.021
240212,0.05,1.65,1.1,-0.04,0.44,0.021
240213,-1.6,-2.52,-0.66,0.78,-0.05,0.021
240214,1.14,1.37,-0.2,-1.53,-0.18,0.021
240215,0.67,1.23,1.03,-0.21,0.26,0.021
240216,-0.53,-0.64,-0.21,0.06,0.17,0.021
240220,-0.74,-0.74,0.41,0.43,0.59,0.021
240221,-0.03,-0.64,0.12,0.86,0.19,0.021
240222,2.02,-1.55,-1.32,0.38,-1.19,0.021
240223,0.02,0.33,-0.04,0.08,-0.11,0.021
240226,-0.25,0.97,-0.1,-0.72,0.0,0.021
240227,0.27,1.24,-0.44,-1.12,0.68,0.021
240228,-0.26,-0.89,-0.01,-0.06,0.52,0.021
240229,0.54,-0.16,0.99,0.27,-0.72,0.021
240301,0.76,0.01,-0.56,-0.24,-0.16,0.021
240304,-0.18,-0.61,0.35,-0.19,0.24,0.021
240305,-1.08,0.05,1.13,0.91,0.56,0.021
240306,0.53,-0.27,-0.02,-1.08,-0.03,0.021
240307,1.02,-0.48,0.05,0.4,-0.73,0.021
240308,-0.66,0.6,0.6,-0.36,0.57,0.021
240311,-0.21,-0.63,0.4,0.45,0.64,0.021
240312,1.04,-1.16,-0.68,0.53,-0.77,0.021
240313,-0.14,0.35,-0.04,-0.04,0.17,0.021
240314,-0.43,-1.46,-1.07,1.03,-0.1,0.021
240315,-0.59,0.95,0.8,-0.09,0.42,0.021
240318,0.53,-1.04,-0.22,0.24,-0.11,0.021
240319,0.54,0.45,-0.24,0.49,0.08,0.021
240320,1.03,1.04,1.01,-0.24,-0.06,0.021
240321,0.42,0.34,0.97,0.27,0.05,0.021
240322,-0.23,-0.99,-0.52,0.29,-0.36,0.021
240325,-0.26,-0.11,0.87,-0.22,-0.17,0.021
240326,-0.26,0.11,-0.16,-0.52,0.21,0.021
240327,0.88,1.29,0.92,-0.15,0.58,0.021
240328,0.1,0.47,0.46,-0.06,0.07,0.021
240401,-0.27,-0.91,-0.27,0.34,-0.31,0.021
240402,-0.85,-1.03,0.04,0.26,0.02,0.021
240403,0.16,0.33,-0.04,0.1,-0.19,0.021
240404,-1.23,0.2,0.18,0.03,0.1,0.021
240405,1.05,-0.5,-0.69,-0.29,-0.59,0.021
240408,0.01,0.54,0.14,-0.24,0.1,0.021
240409,0.14,0.31,-0.33,-0.17,0.05,0.021
240410,-1.01,-1.56,-1.04,0.37,-0.45,0.021
240411,0.72,0.05,-0.62,0.14,-0.54,0.021
240412,-1.53,-0.38,0.13,0.67,-0.22,0.021
240415,-1.29,-0.24,0.75,0.84,0.42,0.021
240416,-0.23,-0.28,-0.82,0.04,-0.26,0.021
240417,-0.64,-0.37,0.55,-0.32,0.54,0.021
240418,-0.27,-0.1,0.86,-0.03,0.29,0.021
240419,-0.82,1.25,1.9,-0.1,1.3,0.021
240422,0.87,-0.12,0.55,-0.23,0.0,0.021
240423,1.27,0.58,-0.01,-0.16,-0.63,0.021
240424,-0.01,-0.3,0.28,0.23,-0.02,0.021
240425,-0.48,-0.39,-0.2,0.4,-0.09,0.021
240426,1.04,0.22,-1.09,0.01,-0.45,0.021
240429,0.34,0.34,-0.49,0.22,-0.12,0.021
240430,-1.67,-0.27,-0.26,-0.61,0.63,0.021
240501,-0.27,1.0,-0.03,-1.43,-0.02,0.02
240502,1.01,0.7,0.02,0.03,-0.77,0.02
240503,1.19,-0.04,-0.22,0.42,-0.55,0.02
240506,1.09,-0.02,-0.05,-0.24,-0.69,0.02
240507,0.05,0.04,-0.65,0.14,0.2,0.02
240508,-0.09,-0.41,0.59,0.72,0.16,0.02
240509,0.52,0.51,0.39,0.02,0.08,0.02
240510,0.08,-0.91,0.01,0.49,-0.06,0.02
240513,-0.04,0.25,-0.26,0.13,0.24,0.02
240514,0.57,0.51,0.04,-0.16,-0.02,0.02
240515,1.15,-0.47,-0.21,-0.4,-0.38,0.02
240516,-0.25,-0.22,-0.01,-0.04,0.39,0.02
240517,0.11,-0.23,0.41,-0.19,-0.1,0.02
240520,0.14,0.16,-0.88,0.15,-0.66,0.02
240521,0.15,-0.43,0.19,0.41,-0.31,0.02
240522,-0.35,-0.4,-0.38,-0.44,-0.05,0.02
240523,-0.85,-0.67,-0.64,1.3,-0.64,0.02
240524,0.72,0.13,0.23,0.34,-0.34,0.02
240528,-0.04,0.1,-0.83,0.15,-1.07,0.02
240529,-0.77,-0.38,-0.66,0.44,-0.04,0.02
240530,-0.52,1.64,0.42,-0.02,0.7,0.02
240531,0.68,-0.1,0.95,1.03,0.91,0.02
240603,0.04,-0.32,-0.62,0.35,-0.43,0.022
240604,-0.06,-1.33,-0.68,-0.15,-0.05,0.022
240605,1.23,0.35,-0.67,-0.47,-0.72,0.022
240606,-0.06,-0.57,-0.08,-0.04,-0.17,0.022
240607,-0.23,-0.95,0.09,0.37,0.2,0.022
240610,0.28,-0.13,-0.29,-0.22,-0.47,0.022
240611,0.2,-0.21,-1.04,0.26,-0.19,0.022
240612,0.94,0.75,0.05,0.07,-0.38,0.022
240613,0.04,-1.02,-0.62,0.97,-0.02,0.022
240614,-0.17,-1.46,-0.65,0.12,0.04,0.022
240617,0.78,-0.33,0.58,0.93,0.24,0.022
240618,0.2,-0.44,0.36,0.28,-0.11,0.022
240620,-0.31,-0.36,0.26,-0.62,0.33,0.022
240621,-0.13,0.44,-0.53,-0.81,0.17,0.022
240624,-0.25,0.62,1.09,-0.01,0.65,0.022
240625,0.31,-0.82,-1.22,0.08,-1.22,0.022
240626,0.16,-0.01,-0.19,0.46,-0.26,0.022
240627,0.14,0.53,-0.39,-0.97,-0.12,0.022
240628,-0.35,1.0,1.28,-0.19,0.72,0.022
240701,0.22,-1.05,-0.46,0.49,-0.34,0.021
240702,0.57,-0.47,0.39,0.52,-0.63,0.021
240703,0.48,-0.29,-0.68,-0.05,0.59,0.021
240705,0.48,-0.8,-1.43,-0.31,-1.04,0.021
240708,0.1,0.55,-0.22,-0.35,0.47,0.021
240709,0.0,-0.59,0.48,-0.44,0.66,0.021
240710,0.97,-0.14,0.43,0.17,0.2,0.021
240711,-0.59,4.21,1.75,-1.09,-0.09,0.021
240712,0.58,0.62,-0.44,-0.5,0.15,0.021
240715,0.38,1.16,0.59,-0.22,-0.35,0.021
240716,0.83,2.76,1.37,-0.64,0.07,0.021
240717,-1.5,0.49,2.46,0.83,-0.13,0.021
240718,-0.95,-1.15,0.03,1.01,0.4,0.021
240719,-0.68,0.07,-0.14,-0.09,-0.47,0.021
240722,1.08,0.53,-0.53,-0.38,0.72,0.021
240723,-0.05,1.15,-0.03,-0.43,-0.18,0.021
240724,-2.37,0.02,1.71,0.1,0.08,0.021
240725,-0.33,1.67,0.68,-0.11,0.15,0.021
240726,1.1,0.57,-0.2,0.02,0.08,0.021
240729,-0.04,-1.05,-0.43,0.61,-0.24,0.021
240730,-0.53,0.68,1.38,0.47,-1.03,0.021
240731,1.53,-0.97,-1.32,0.44,1.43,0.021
240801,-1.61,-1.24,-0.67,0.91,-0.89,0.022
240802,-2.12,-1.18,-0.78,0.96,0.79,0.022
240805,-3.02,-0.34,-0.01,-0.13,-0.17,0.022
240806,1.0,-0.03,-0.58,-0.12,0.29,0.022
240807,-0.83,-0.55,0.84,0.74,-0.79,0.022
240808,2.39,0.1,-0.85,-0.63,0.05,0.022
240809,0.43,-0.8,-0.31,0.3,-0.21,0.022
240812,-0.08,-0.87,-0.59,0.12,0.39,0.022
240813,1.7,0.18,-0.77,-0.51,1.08,0.022
240814,0.3,-1.1,0.27,0.14,0.4,0.022
240815,1.78,0.95,-0.74,-0.48,0.4,0.022
240816,0.21,0.05,0.78,-0.21,0.51,0.022
240819,0.98,0.25,-0.29,-1.03,0.49,0.022
240820,-0.32,-0.72,-0.68,0.36,-0.65,0.022
240821,0.52,0.84,-0.63,-0.43,0.19,0.022
240822,-0.96,-0.25,1.39,0.56,-0.25,0.022
240823,1.29,1.9,0.85,-0.48,0.68,0.022
240826,-0.34,0.33,0.17,0.13,-0.06,0.022
240827,0.05,-0.9,0.02,0.27,0.23,0.022
240828,-0.67,-0.22,1.14,0.55,-0.16,0.022
240829,0.08,0.67,0.28,-0.15,-1.22,0.022
240830,0.98,-0.56,0.04,-0.2,-0.14,0.022
